ti,T,T_b,pool_raw,pool_bucketed,pool_addr_n,K_sampled,item_n,addr_n,H_knap_item,H_knap_addr,H_naive_item,H_naive_addr,saturated,skipped
2290,1495080617519306096,1495,7446,7056,6111,2000,553,545,4.9161417006995025,4.914839314748448,12.862249900851513,12.577192765687045,True,False
2291,1296393155666283593,1296,7592,7207,6215,2000,449,447,4.74713454922164,4.74659136616895,12.89026427702111,12.601538675939848,True,False
2292,997009694004154855,997,7172,6766,5896,2000,462,459,4.978504212199352,4.977827524104231,12.808159772868375,12.52552080909507,True,False
2293,994161654139361812,994,7161,6751,5893,2000,447,444,4.394238053116197,4.392681892387025,12.805945351802933,12.524786550851607,True,False
2294,797153660273630173,797,6959,6520,5693,2000,492,489,4.7074300171611325,4.706478150621789,12.764664292073347,12.474973384391147,True,False
2295,997000000000000000,997,7166,6763,5890,2000,488,483,4.524785025127896,4.519542890656273,12.806952328210736,12.524051918717824,True,False
2296,1495579649333583350,1496,7695,7344,6287,2000,456,451,4.594537297666304,4.592481613614806,12.909705611215573,12.61815604777846,True,False
2297,97559864209379996,98,4437,4087,3778,2000,455,450,4.395565789065995,4.392365072991376,12.115368837820224,11.88340698638837,True,False
2298,199500000000000000,200,5177,4880,4412,2000,410,403,4.418746801034009,4.41472163437495,12.337900602860927,12.107217075591382,True,False
2299,977360929549495354,977,6825,6564,5683,2000,414,407,5.093296055487663,5.091581587888719,12.736613330694578,12.472437000051329,True,False
2300,199459306362477977,199,4770,4521,4079,2000,390,383,4.5414437503696865,4.537745505046257,12.219773550892874,11.993999791792524,True,False
2301,438164829058246306,438,5389,5162,4553,2000,381,374,4.42218850423539,4.417802078489712,12.395801871389747,12.152601744019199,True,False
2302,801508669468313532,802,5560,5358,4657,2000,361,354,4.835459052362136,4.83294198087297,12.44086916761087,12.185185166820329,True,False
2303,3261456008631928355,3261,4517,4386,3690,2000,212,208,4.771232043875478,4.7687870561004155,12.141149198437516,11.849405100947758,True,False
2304,299333895374071894,299,2056,1977,1772,2000,150,148,4.36803975067746,4.3642317202132155,11.005624549193879,10.791162888555018,True,False
2305,1694334166358644884,1694,2182,2135,1851,2000,116,114,4.358244541481607,4.351835248006067,11.091435386323607,10.854089179870574,True,False
2306,1655158981217313057,1655,902,883,803,2000,77,77,4.461258012666534,4.461258012666533,9.81698362325538,9.649256177517314,True,False
2307,850035653411363,1,9,4,4,4,4,4,2.0,2.0,3.169925001442312,2.0,False,False
2308,9297217144033554117,9297,2078,2076,1770,2000,81,80,4.445388213823759,4.444585590652807,11.020979938904212,10.78953364497036,True,False
2309,71454149454441754,71,224,223,213,2000,79,78,4.556185018758902,4.554781964311768,7.807354922057604,7.734709620225838,True,False
2310,4700918354634628,5,1608,1221,1190,2000,533,525,4.750811710636327,4.743831453673423,10.651051691178928,10.216745858195306,True,False
2311,4928863624822302669,4929,8967,8534,7174,2000,509,505,5.312525007646009,5.310806270120159,13.13040968239925,12.808562029957525,True,False
2312,189525000000000000,190,3272,3117,2826,2000,261,256,4.382609686779477,4.377606124677931,11.67595703294175,11.46454575033394,True,False
2313,6039168559226041,6,1013,860,834,2000,247,242,4.73021525363843,4.718643890079193,9.984418458801137,9.703903573444663,True,False
2314,1286460876496950000,1286,1060,1057,922,2000,72,71,4.445536538526418,4.445023605829333,10.049848549450562,9.848622940429339,True,False
2315,1995000000000000,2,173,119,117,2000,102,100,6.2753356502796365,6.252324144526757,7.434628227636725,6.870364719583405,True,False
2316,13792931878471668722,13793,6510,6471,5383,2000,169,168,5.523504867340475,5.523400906573508,12.668441828052998,12.39419471001943,True,False
2317,35768201450729446131,35768,9943,9600,7909,2000,484,479,5.912150377808285,5.91159470437278,13.279465491793964,12.949279579076595,True,False
2318,4987500000000000,5,599,483,470,2000,177,173,5.193994602662871,5.177305684104793,9.226412192788786,8.876516946565,True,False
2319,22099168955761985024,22099,4870,4862,3917,2000,70,70,5.274457326332586,5.274457326332586,12.249706056969705,11.935533412950747,True,False
2320,54453056652652512667,54453,5431,5428,4405,2000,83,83,5.516040009080007,5.516040009080008,12.407002147924201,12.104926303807776,True,False
2321,1122187500000000000,1122,7282,6999,5980,2000,411,404,4.959650818666457,4.957729019023494,12.830119025444516,12.545929769085467,True,False
2322,3491250000000000000,3491,8312,8042,6733,2000,427,420,5.475602267511683,5.474427829947002,13.020979938904212,12.717033749490891,True,False
2323,14566264358358761752,14566,8973,8615,7240,2000,523,515,5.476917912926756,5.476022908172046,13.131374695840508,12.821773981970567,True,False
2324,5012531328320802,5,1782,1355,1324,2000,484,480,4.632072019767113,4.6226428638480295,10.799281621521923,10.370687406807217,True,False
2325,10901922556403393,11,2096,1828,1760,2000,410,402,4.566314264012364,4.560435369244581,11.03342300153745,10.78135971352466,True,False
2326,5134797099492792247,5135,8120,7852,6653,2000,423,415,4.998220894976988,4.99499495844729,12.987264012072538,12.699789318382136,True,False
2327,238955383439210337,239,2292,2274,2089,2000,94,94,4.367007647263704,4.367007647263705,11.162391328756906,11.028596777067108,True,False
2328,1240232554893634297,1240,2084,2078,1692,2000,54,53,4.830409399786837,4.796328656156879,11.025139562278508,10.72451385311995,True,False
2329,998691224996797213,999,2380,2377,1953,2000,49,49,4.227573436830541,4.227573436830541,11.216745858195306,10.93147623388679,True,False
2330,9571471803197847,10,258,236,229,2000,97,95,4.302395015436043,4.282145164460957,8.011227255423254,7.839203788096944,True,False
2331,4144970833351768140,4145,1597,1593,1323,2000,51,49,4.3911502670992135,4.28488514861773,10.641148597411233,10.369597346278677,True,False
2332,5533514092754642976,5534,6381,6306,5322,2000,285,278,4.683623247481575,4.6803106439627165,12.639566818681828,12.37775279502222,True,False
2333,5863450524389910588,5863,8342,8068,6846,2000,487,478,5.170043909053173,5.168562502240238,13.026177596889225,12.741045577009837,True,False
2334,2170607449115464,2,934,640,632,2000,401,394,6.488745493252489,6.4686045504727385,9.867278739709661,9.303780748177102,True,False
2335,857850000000000000,858,5997,5770,5084,2000,405,397,4.7466995866246275,4.7438992505843025,12.550025257465784,12.311748315004959,True,False
2336,58818821406029730,59,3308,3076,2917,2000,397,389,4.378409100472223,4.372693590005694,11.691743519171276,11.510269670898177,True,False
2337,4906723236309650,5,1102,900,876,2000,346,339,5.2314150205126495,5.215900073859439,10.105908508571158,9.774787059601174,True,False
2338,98067448601256387,98,892,888,815,2000,54,54,4.299285743654668,4.299285743654668,9.800899899920305,9.67065624911844,True,False
2339,11969545071145752327,11970,7372,7176,5908,2000,368,361,5.536430500152066,5.535153345433056,12.847840355630714,12.52845411076479,True,False
2340,8976674419768608780,8977,9285,8934,7434,2000,469,464,5.201170208517168,5.20012610541071,13.180686194822783,12.859922972861758,True,False
2341,22339391415792082390,22339,9728,9406,7758,2000,479,472,5.682364901604016,5.681072017427656,13.247927513443585,12.921469060531411,True,False
2342,22018815000000000000,22019,5820,5802,4820,2000,123,123,5.574313995774495,5.574313995774494,12.506803437795647,12.234817431117325,True,False
2343,39468461101800424692,39468,8671,8536,7230,2000,359,350,5.19866476955891,5.174657545836112,13.081982669325678,12.81977993183848,True,False
2344,10000000000000000,10,2166,1802,1748,2000,404,402,4.562386105492586,4.5605357955656745,11.080817527608327,10.7714894695006,True,False
2345,5478270000000000000,5478,190,190,184,2000,45,45,5.004045203579258,5.004045203579258,7.569855608330948,7.523561956057013,True,False
2346,2675547987945000,3,175,139,137,2000,108,106,4.992761387555737,4.958880548586808,7.451211111832329,7.098032082960526,True,False
2347,1645703984869325063,1646,7821,7462,6389,2000,454,449,4.688404678147531,4.686606050974708,12.933137368256713,12.641374424294513,True,False
2348,6056197532454646773,6056,6399,6323,5363,2000,301,294,5.047292111298978,5.045133526405437,12.643630751061728,12.3888245380236,True,False
2349,1895250000000000,2,56,39,39,566,39,39,5.1162574240229866,5.1162574240229866,5.807354922057604,5.285402218862249,False,False
2350,78302947531502788,78,4264,3954,3656,2000,450,443,4.810900353782334,4.80181545401204,12.057991722759176,11.83605035505807,True,False
2351,18045112781954887,18,227,211,210,2000,61,61,4.206669693426778,4.206669693426776,7.826548487290915,7.714245517666122,True,False
2352,1338103314070544144,1338,4355,4213,3615,2000,230,226,4.682732397869556,4.680215408189213,12.088457003486226,11.81977993183848,True,False
2353,2758947220210255758,2759,1219,1218,1098,2000,76,75,4.6197485065071255,4.6189876325290005,10.251482410620213,10.100662339005199,True,False
2354,67876045530790901146,67876,6742,6577,5397,2000,334,328,6.151018667192276,6.150237704490383,12.71896091198421,12.397941971972639,True,False
2355,9975000000000000,10,1235,1080,1042,2000,258,253,4.367297024267621,4.360862442689881,10.27029532647204,10.025139562278508,True,False
2356,36566803917869114,37,939,923,907,2000,76,76,4.274345931936221,4.274345931936219,9.874981347653774,9.824958740528523,True,False
2357,1995000000000000000,1995,1228,1226,1067,2000,86,85,4.742519171266707,4.742039770156545,10.262094845370179,10.059344460824425,True,False
2358,128903890363552029,129,3424,3344,3129,2000,326,319,4.643926544555816,4.640827544993717,11.741466986401146,11.611485943240922,True,False
2359,2512702500000000000,2513,5193,5040,4267,2000,261,256,4.7296503597495,4.726928647055879,12.342352510087794,12.059006395201111,True,False
2360,99750000000000000,100,843,835,793,2000,67,67,4.240502418975359,4.240502418975359,9.719388820942083,9.63117705570398,True,False
2361,740347472070758,1,362,125,125,125,125,125,6.965784284662088,6.965784284662088,8.499845887083206,6.965784284662087,False,False
2362,2605001329269340,3,375,284,280,2000,155,152,5.175671200014752,5.160819735982743,8.550746785383243,8.129283016944967,True,False
2363,5985000000000000,6,1721,1357,1315,2000,493,485,4.755021240434058,4.747017238433058,10.749031382040204,10.360847084179664,True,False
2364,2443875000000000,2,1165,796,777,2000,510,502,6.479853173588928,6.464676931814306,10.186114239541643,9.60177078840771,True,False
2365,49723681225013471408,49724,5330,5325,4295,2000,69,69,4.922950998837285,4.922950998837283,12.379919817646538,12.068442416025826,True,False
2366,99373576270642131119,99374,5521,5517,4447,2000,84,84,5.48606232764139,5.48606232764139,12.430713885791938,12.118616689351509,True,False
2367,172257243353931632,172,3779,3586,3263,2000,318,311,4.481252973883296,4.476425198320139,11.88378880325996,11.671983272091865,True,False
2368,498750000000000000,499,4635,4442,3920,2000,316,309,4.4971978971907305,4.492895028547238,12.178353623512892,11.936637939002571,True,False
