ti,T,T_b,pool_raw,pool_bucketed,pool_addr_n,K_sampled,item_n,addr_n,H_knap_item,H_knap_addr,H_naive_item,H_naive_addr,saturated,skipped
1832,2033394287038337,203,26,26,26,1,4,4,2.0,2.0,4.700439718141092,4.700439718141092,False,False
1833,94842363356391624,9484,7,7,7,0,0,0,0.0,0.0,2.807354922057604,2.807354922057604,False,False
1834,26932500000000000,2693,31,31,31,84,13,13,3.4866245652238135,3.4866245652238135,4.954196310386875,4.954196310386875,False,False
1835,44787750000000000,4479,78,78,78,2000,49,49,5.0112923344220315,5.011292334422031,6.285402218862249,6.285402218862249,True,False
1836,7817017512256241114,781702,76,76,75,2000,48,48,4.975743450233879,4.975743450233879,6.247927513443585,6.22881869049588,True,False
1837,481991778263373383,48199,26,26,26,0,0,0,0.0,0.0,4.700439718141092,4.700439718141092,False,False
1838,3259945879568908810,325995,17,17,16,0,0,0,0.0,0.0,4.087462841250339,4.0,False,False
1839,5243807225658744,524,31,30,30,8,13,13,3.0524397502833365,3.0524397502833365,4.954196310386875,4.906890595608519,False,False
1840,100842008521507796879,10084201,114,114,109,0,0,0,0.0,0.0,6.832890014164741,6.768184324776926,False,True
1841,321053156641183473,32105,135,135,135,2000,27,27,4.662676681840676,4.662676681840677,7.076815597050831,7.076815597050831,True,False
1842,1650496617723361579,165050,126,126,116,2000,51,45,5.2393599452608175,5.193460036396118,6.977279923499917,6.857980995127572,True,False
1843,5047350000000000000,504735,26,26,26,0,0,0,0.0,0.0,4.700439718141092,4.700439718141092,False,False
1844,4953815064500664,495,48,48,48,2000,29,29,4.566646365701496,4.566646365701495,5.584962500721156,5.584962500721156,True,False
1845,1021170076796369137,102117,36,36,35,119,30,29,4.690897017444996,4.68435299820212,5.169925001442312,5.129283016944966,False,False
1846,54862500000000000,5486,94,92,92,2000,40,40,4.738206184429295,4.738206184429295,6.554588851677638,6.523561956057013,True,False
1847,7976010000000000000,797601,76,76,72,2000,45,45,4.968122619872182,4.968122619872183,6.247927513443585,6.169925001442312,True,False
1848,8477645957318230437,847765,22,22,22,0,0,0,0.0,0.0,4.459431618637297,4.459431618637297,False,False
1849,4279910186047747569,427991,87,87,86,2000,48,48,5.246900469781873,5.246900469781872,6.442943495848728,6.426264754702098,True,False
1850,3423994430325000000,342399,107,107,107,2000,45,45,5.0104235513766895,5.01042355137669,6.741466986401147,6.741466986401147,True,False
1851,218382923459569426,21838,33,33,33,635,31,31,4.652985551057854,4.652985551057854,5.044394119358453,5.044394119358453,False,False
1852,15439338044062800000,1543934,31,31,31,105,31,31,4.813904052132146,4.813904052132146,4.954196310386875,4.954196310386875,False,False
1853,3911328037618297238,391133,43,43,43,77,38,38,4.7569751416087,4.7569751416087,5.426264754702098,5.426264754702098,False,False
1854,997500000000000000,99750,15,15,15,0,0,0,0.0,0.0,3.9068905956085187,3.9068905956085187,False,False
1855,1296750000000000000,129675,19,19,19,1,1,1,-0.0,-0.0,4.247927513443585,4.247927513443585,False,False
1856,53652224630278790303,5365222,161,161,157,2000,88,88,6.3028756675554884,6.3028756675554884,7.330916878114617,7.294620748891627,True,False
1857,1855673215828643748,185567,173,173,170,2000,37,37,4.86721808826532,4.86721808826532,7.434628227636725,7.409390936137702,True,False
1858,991120331895729406,99112,31,31,31,141,30,30,4.649004738138017,4.649004738138016,4.954196310386875,4.954196310386875,False,False
1859,982203344635008112,98220,47,47,47,2000,43,43,4.936852493053363,4.936852493053363,5.554588851677638,5.554588851677638,True,False
