ti,T,T_b,pool_raw,pool_bucketed,pool_addr_n,K_sampled,item_n,addr_n,H_knap_item,H_knap_addr,H_naive_item,H_naive_addr,saturated,skipped
1832,2033394287038337,2,701,504,496,2000,338,331,6.457750207138689,6.434479727012167,9.453270634010623,8.954196310386875,True,False
1833,94842363356391624,95,9291,8711,8045,2000,889,873,5.193435216711872,5.185477332190852,13.181618168395818,12.973876705610808,True,False
1834,26932500000000000,27,6428,5855,5557,2000,879,863,4.394773081362756,4.389593036245602,12.650154213675094,12.440090524950488,True,False
1835,44787750000000000,45,2263,2110,1974,2000,253,248,4.451310570979684,4.446508337989615,11.144020869266893,10.946906274456397,True,False
1836,7817017512256241114,7817,20989,20410,16665,2000,912,896,5.479688242170909,5.478549696240396,14.357345812048587,14.02453369699761,True,False
1837,481991778263373383,482,9336,8833,7725,2000,612,604,4.467265805729024,4.464420196100617,13.188588845707349,12.9153192176791,True,False
1838,3259945879568908810,3260,25037,24448,19875,2000,924,907,4.894324606577084,4.892066090685875,14.611774084614963,14.278667239946442,True,False
1839,5243807225658744,5,1289,1087,1058,2000,345,338,5.230233395262889,5.214718448609679,10.332036548361652,10.047123912114026,True,False
1840,100842008521507796879,100842,23050,22472,18209,0,0,0,0.0,0.0,14.492479130204062,14.152364074260957,False,True
1841,321053156641183473,321,5739,5463,4859,2000,402,395,4.373283788218667,4.368186027699718,12.486583659067268,12.246443717117286,True,False
1842,1650496617723361579,1650,8623,8281,7026,2000,482,475,4.552871745483207,4.549816967899732,13.073974164666751,12.778487861222372,True,False
1843,5047350000000000000,5047,27108,26519,21384,2000,920,903,4.696613255019037,4.693981684480837,14.72643105611424,14.384244122243079,True,False
1844,4953815064500664,5,1374,1081,1054,2000,402,395,5.2386144868975775,5.2256853646865675,10.4241662888181,10.041659151637214,True,False
1845,1021170076796369137,1021,18756,18175,15218,2000,913,897,4.883391023554974,4.881294765571313,14.19506456372082,13.893491147084914,True,False
1846,54862500000000000,55,2887,2696,2511,2000,309,302,4.429746557301476,4.424420904704911,11.495355392235982,11.2940463132715,True,False
1847,7976010000000000000,7976,23450,22869,18534,2000,906,890,5.008412663268062,5.006630461153726,14.517300302290101,14.177886656348793,True,False
1848,8477645957318230437,8478,27298,26711,21438,2000,938,922,5.541272544090422,5.54021720115624,14.736507634878501,14.387882699306425,True,False
1849,4279910186047747569,4280,16265,15700,13020,2000,855,839,4.834485523642208,4.832220712930422,13.989483201928493,13.668441828052998,True,False
1850,3423994430325000000,3424,8064,7807,6533,2000,400,393,4.593359771948721,4.590339987404729,12.977279923499916,12.673529924401144,True,False
1851,218382923459569426,218,12236,11655,10392,2000,895,879,4.514256346861019,4.510840471852641,13.578844391558203,13.34318571544788,True,False
1852,15439338044062800000,15439,33253,32662,26140,2000,945,928,5.600533921669435,5.599481398719608,15.021196882265004,14.673971520682796,True,False
1853,3911328037618297238,3911,25886,25297,20531,2000,921,904,4.795138097736731,4.792738903237792,14.6598844314618,14.32551627781456,True,False
1854,997500000000000000,998,19987,19397,16260,2000,923,906,4.894644188645574,4.89238603618117,14.286774322871413,13.98903963696239,True,False
1855,1296750000000000000,1297,21727,21137,17523,2000,918,901,4.603441720093901,4.60043437203546,14.40720136474911,14.096962170162607,True,False
1856,53652224630278790303,53652,165,165,161,2000,68,68,5.926450666025655,5.926450666025654,7.366322214245816,7.330916878114617,True,False
1857,1855673215828643748,1856,13733,13173,11123,2000,841,826,4.651991002927717,4.648912870087759,13.745359198941893,13.441258331406123,True,False
1858,991120331895729406,991,17733,17152,14510,2000,910,894,4.795431766343569,4.793096719102327,14.114149005972047,13.824759898954106,True,False
1859,982203344635008112,982,17598,17017,14416,2000,909,893,4.743368439857488,4.740957080291344,14.103123856478112,13.815383295813538,True,False
1860,977079802396493904,977,17448,16867,14301,2000,908,892,4.696884329780101,4.694322316764377,14.09077405464075,13.803828410790832,True,False
1861,1003714476856147116,1004,18333,17752,14889,2000,908,892,4.76048215344945,4.7579377151575235,14.1621552664082,13.861959240018276,True,False
1862,2984399503561362591,2984,20893,20312,16727,2000,906,890,4.918940195215109,4.9167198163193895,14.350732041623,14.02989109968829,True,False
1863,101693337928173243465,101693,22080,21504,17487,0,0,0,0.0,0.0,14.430452551665532,14.093995187027657,False,True
1864,46131618920617497,46,2541,2368,2209,2000,293,287,4.439537836276618,4.43337924298982,11.311180660053354,11.109177703355275,True,False
1865,2257502049463745765,2258,2023,1986,1725,2000,123,121,4.685573515502871,4.678297215386558,10.982280604558284,10.752380646552893,True,False
1866,1380370757061421,1,1381,812,798,812,812,798,9.665335917185178,9.627460439965766,10.43149760425805,9.640244936222345,False,False
1867,24937500000000000,25,6815,6234,5941,2000,899,883,4.4002618789465995,4.394405744609477,12.734497941692572,12.536490073199161,True,False
1868,17955000000000000,18,5976,5395,5180,2000,897,881,4.400334715309974,4.39447858097285,12.544964432789238,12.338736382573916,True,False
1869,494485423742537712,494,6671,6366,5613,2000,471,464,4.5497269492118795,4.546950747022232,12.703687325967547,12.45455634396194,True,False
1870,10599374714784477176,10599,26257,25675,20657,2000,935,919,5.54010852070635,5.539040629054569,14.680414469719073,14.33434312748961,True,False
1871,7482342117165564004,7482,9058,8781,7261,2000,426,419,5.378302064586359,5.377059036234533,13.144976824050111,12.825952537523726,True,False
1872,228723223725101112,229,6071,5729,5143,2000,482,475,4.521725971215697,4.518373908650213,12.567718457850754,12.328394438352458,True,False
1873,118702500000000000,119,8423,7861,7172,2000,839,824,4.392824120500192,4.38791542409983,13.04011845076483,12.808159772868375,True,False
1874,36083870717477395512,36084,33091,32502,25932,2000,934,917,5.2783959882890965,5.276992565878599,15.014151269665957,14.662445857580664,True,False
1875,2793000000000000000,2793,18955,18376,15242,2000,893,877,4.650398468662449,4.6476656320025285,14.210290836058007,13.895764600016399,True,False
1876,74812500000000000,75,8774,8195,7610,2000,889,873,4.5142729778228325,4.510857245148511,13.09901899101923,12.893680738390907,True,False
1877,24937500000000000,25,6192,5620,5340,2000,875,859,4.400612764218327,4.394613752327268,12.59618975614441,12.382624026574916,True,False
1878,13949800130907928176,13950,6280,6123,5044,2000,295,290,5.340945310375118,5.339626627324071,12.61654884377899,12.30035256032822,True,False
1879,365892613558711992,366,14299,13718,11970,2000,907,891,4.6503672356744685,4.6476339434050855,13.803626635260308,13.547135531830865,True,False
1880,133281048862501072,133,11294,10713,9723,2000,902,886,4.437082443273505,4.432982709917615,13.46326891598129,13.247185806038997,True,False
1881,1500840717438139314,1501,14922,14353,12129,2000,872,856,4.834748674321764,4.832483982816816,13.865153292938063,13.56617298899285,True,False
1882,39324909362450489,39,3142,2908,2716,2000,383,376,4.392956002700354,4.388169217735926,11.617467465294196,11.407267764244732,True,False
1883,8467925026260000,8,799,690,672,2000,170,167,4.383907841762113,4.376987057934123,9.642051692927977,9.39231742277876,True,False
1884,1136399233382558119,1136,21861,21271,17677,2000,921,904,4.743026935038179,4.740550399524187,14.416071776078178,14.10958583231239,True,False
1885,3554707931851069,4,1818,1316,1292,2000,601,593,5.2342340718101585,5.225029878220143,10.828136484194108,10.335390354693924,True,False
1886,5235541235957490193,5236,26362,25775,20793,2000,921,904,4.789093255059458,4.786754308673719,14.686172206671833,14.343810303829477,True,False
1887,8544704812587950590,8545,23852,23271,18842,2000,918,902,5.447876555024722,5.446705478745761,14.54182262142417,14.201664488711414,True,False
1888,7073116502353459,7,967,825,803,2000,222,218,4.499526057890915,4.491729756381445,9.917372079476841,9.649256177517314,True,False
1889,886673616827379182,887,16849,16268,13847,2000,906,890,4.936297345902961,4.9342136630161235,14.0403753485321,13.7572858248538,True,False
1890,9907708208574480876,9908,19212,18639,15288,2000,902,886,5.415458936854801,5.414223949966587,14.229720093237413,13.900112062977456,True,False
1891,5635875000000000000,5636,13044,12543,10348,2000,606,598,5.068156650299947,5.066691078650351,13.671098725748465,13.33706433868474,True,False
1892,1126305349754321617,1126,8335,7992,6815,2000,487,480,4.690114631540381,4.687958222472345,13.02496648387378,12.734497941692572,True,False
1893,634586466165413533,635,6256,5999,5227,2000,401,394,4.694072225627111,4.691397949598464,12.611024797307353,12.351767443959893,True,False
1894,9974534313517820770,9975,8021,7800,6439,2000,397,390,5.475029788059269,5.473788198443035,12.96956639729051,12.652620934638165,True,False
